Size,Type,FileNumber,RunningTime(ms),Accuracy
1000,ascending,0,0.0642,100%
10000,ascending,0,0.8252,100%
100000,ascending,0,11.7920,100%
150000,ascending,0,19.3706,100%
1000,descending,0,0.1301,100%
10000,descending,0,1.7190,100%
100000,descending,0,24.5291,100%
150000,descending,0,39.1300,100%
1000,random,1,0.1567,100%
1000,random,2,0.1662,100%
1000,random,3,0.2262,100%
1000,random,4,0.1579,100%
1000,random,5,0.1535,100%
1000,random,6,0.1772,100%
1000,random,7,0.1633,100%
1000,random,8,0.1561,100%
1000,random,9,0.1536,100%
1000,random,10,0.2442,100%
10000,random,1,2.0350,100%
10000,random,2,2.0974,100%
10000,random,3,1.9946,100%
10000,random,4,2.4426,100%
10000,random,5,2.1144,100%
10000,random,6,2.6705,100%
10000,random,7,3.0186,100%
10000,random,8,2.1030,100%
10000,random,9,2.0849,100%
10000,random,10,2.0193,100%
100000,random,1,26.9119,100%
100000,random,2,23.6897,100%
100000,random,3,25.1223,100%
100000,random,4,22.6738,100%
100000,random,5,32.5020,100%
100000,random,6,22.1105,100%
100000,random,7,26.5331,100%
100000,random,8,28.1126,100%
100000,random,9,25.6946,100%
100000,random,10,27.5000,100%
150000,random,1,47.8067,100%
150000,random,2,41.8744,100%
150000,random,3,38.7641,100%
150000,random,4,38.8805,100%
150000,random,5,38.4549,100%
150000,random,6,37.2277,100%
150000,random,7,37.7796,100%
150000,random,8,36.6282,100%
150000,random,9,43.3087,100%
150000,random,10,40.6798,100%
1000,partially_sorted,1,0.1243,100%
1000,partially_sorted,2,0.1284,100%
1000,partially_sorted,3,0.1295,100%
1000,partially_sorted,4,0.1255,100%
1000,partially_sorted,5,0.2394,100%
1000,partially_sorted,6,0.1876,100%
1000,partially_sorted,7,0.1266,100%
1000,partially_sorted,8,0.1565,100%
1000,partially_sorted,9,0.2183,100%
1000,partially_sorted,10,0.1821,100%
10000,partially_sorted,1,1.9601,100%
10000,partially_sorted,2,1.7211,100%
10000,partially_sorted,3,2.5178,100%
10000,partially_sorted,4,1.5467,100%
10000,partially_sorted,5,1.7108,100%
10000,partially_sorted,6,1.5130,100%
10000,partially_sorted,7,1.5224,100%
10000,partially_sorted,8,2.0482,100%
10000,partially_sorted,9,1.5668,100%
10000,partially_sorted,10,1.9595,100%
100000,partially_sorted,1,21.3703,100%
100000,partially_sorted,2,21.6882,100%
100000,partially_sorted,3,22.3553,100%
100000,partially_sorted,4,18.9153,100%
100000,partially_sorted,5,19.1139,100%
100000,partially_sorted,6,19.9859,100%
100000,partially_sorted,7,20.1188,100%
100000,partially_sorted,8,19.8285,100%
100000,partially_sorted,9,19.8195,100%
100000,partially_sorted,10,21.4208,100%
150000,partially_sorted,1,32.5432,100%
150000,partially_sorted,2,39.2592,100%
150000,partially_sorted,3,37.0296,100%
150000,partially_sorted,4,35.7138,100%
150000,partially_sorted,5,30.5349,100%
150000,partially_sorted,6,34.4731,100%
150000,partially_sorted,7,32.0969,100%
150000,partially_sorted,8,30.0302,100%
150000,partially_sorted,9,31.7137,100%
150000,partially_sorted,10,38.4206,100%
